"Outcome","ICC","base","ucgLInt","ucgLSlp","ucgQInt","ucgQSlp","ucgCInt","ucgCSlp"
"DEPRS",NA,NA,NA,NA,NA,NA,NA,NA
"MANIC",NA,NA,NA,NA,NA,NA,NA,NA
"PANIC",NA,NA,NA,NA,NA,NA,NA,NA
"PSYCS",NA,NA,NA,NA,NA,NA,NA,NA
"SA",NA,NA,NA,NA,NA,NA,NA,NA
"SLEEP",NA,NA,NA,NA,NA,NA,NA,NA
"SUICD",NA,NA,NA,NA,NA,NA,NA,NA
"VIOLN",NA,NA,NA,NA,NA,NA,NA,NA
"SCONF",NA,NA,NA,NA,NA,NA,NA,NA
"WORKF",NA,NA,NA,NA,NA,NA,NA,NA
"SEXFN",NA,NA,NA,NA,NA,NA,NA,NA
"LIFEQ",NA,NA,NA,NA,NA,NA,NA,NA
