"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"NEG",1,249,-0.0181679960463406,1.01527033875821,-0.371631537691011,-0.132555329681468,0.807438166471947,-1.55469422363826,3.32352976288136,4.87822398651962,0.914392798867268,-0.0926664441052605,0.0643401434509281
"DET",2,249,-0.0330783928054655,0.997903385611649,-0.272527045229434,-0.138057399099537,1.00946897628099,-1.55545285159067,3.11297083516333,4.668423686754,0.845005573127482,-0.0164439010902009,0.0632395575142582
"ANT",3,249,0.00739137034356244,1.01069761397858,-0.345197811637581,-0.167708227248544,0.503978859310531,-1.28060141323606,3.89962431899959,5.18022573223565,1.91595336891039,3.72975610552318,0.0640503587925454
"DIS",4,249,-0.0131201051330797,0.977096269246769,-0.328037829549236,-0.0977695047903762,0.845871147340247,-1.64054426575086,2.41059354408295,4.05113780983381,0.679472654333922,-0.724591588875047,0.0619209600918672
"PSY",5,249,0.00831010953142013,1.02299775946798,-0.246428453401421,-0.12401340834249,0.785996821472047,-1.86521238255535,3.86898052504878,5.73419290760413,1.29039784670197,1.75530572273417,0.0648298488407065
