"num","df","cih2","pVal","RMSEA","TLI","SRMR","BIC"
1,2277,10243.0441904074,2.99543694617875e-180,0.0587827018866231,0.430731684600243,0.0828556180956339,-8333.99689462092
2,2209,6695.65971773187,1.74804850664232e-114,0.0515038547011391,0.56108820281275,0.0669890972659451,-8649.01929891468
3,2142,5459.64067498954,2.62161144058425e-85,0.0475069640430518,0.625022697035407,0.0604908195635404,-8656.24806411636
4,2076,4370.10272706704,2.63589474356403e-61,0.0433847393121357,0.68590802317689,0.0541194359090133,-8636.87805975082
5,2011,3776.54363537403,5.25157801197176e-49,0.0409348151589309,0.719218360542555,0.0503100433808057,-8498.56084411339
6,1947,3206.86089969732,5.32749238159937e-36,0.0376630377936093,0.761217911325747,0.0463604347025136,-8387.31075138561
7,1884,2774.70870084791,1.0692275400808e-27,0.0351322102583362,0.791280877390798,0.0431237119339377,-8226.29430262217
8,1822,2459.68009609487,2.66887453813558e-22,0.0332103412700016,0.812653393217162,0.0406019368778812,-8031.67862810693
9,1761,2171.6854928889,6.49235443620791e-18,0.0313534339742365,0.832242320446494,0.0381509980136829,-7829.91806579721
