"MR4","MR2","MR3","MR1","MR5","MR6","MR7"
1,0.0309898014816767,0.241991694255353,0.217680369382409,0.202079558173989,0.0776285289650102,0.235332302005741
0.0309898014816767,1,0.0100708013025785,0.0926581792731461,0.190935543025969,0.234131312378013,0.221724053864846
0.241991694255353,0.0100708013025785,1,0.156004907296629,0.195077767030146,0.161746593686478,0.179161720258047
0.217680369382409,0.0926581792731461,0.156004907296629,1,0.143136404674866,0.14219527935914,0.177620434047636
0.202079558173989,0.190935543025969,0.195077767030146,0.143136404674866,1,0.159215260745367,0.247861644951713
0.0776285289650102,0.234131312378013,0.161746593686478,0.14219527935914,0.159215260745367,1,0.230274643880055
0.235332302005741,0.221724053864846,0.179161720258047,0.177620434047636,0.247861644951713,0.230274643880055,1
