"","Outcome","R2"
"1","DEPRS",0.00536946734178516
"2","LIFEQ",0.0536697359877583
"3","MANIC",0.036123208303811
"4","PANIC",0.0105250284916154
"5","PSYCS",0.0292126410480951
"6","SA",0.0167758742501143
"7","SCONF",0.0181988181258022
"8","SEXFN",0.0129027468307914
"9","SLEEP",0.0175225546254894
"10","SUICD",0.011646002670813
"11","VIOLN",0.0172978439860057
"12","WORKF",0.0595408807852997
